year,Week,ASST_NT,BURG_NT,DRUG_NT,HOMD_NT,ROBB_NT,THEF_NT,WCCR_NT
2017,32,111,138,8,1,41,402,18
2017,33,110,131,5,1,51,410,29
2017,34,114,110,4,0,47,425,27
2017,35,107,130,3,1,55,441,32
2017,36,97,113,3,1,35,389,36
2017,37,107,118,5,3,41,405,23
2017,38,115,127,1,1,32,392,27
2017,39,99,104,4,1,47,416,24
2017,40,104,135,5,1,52,404,43
2017,41,115,137,1,0,58,416,24
2017,42,105,145,5,1,42,365,27
2017,43,96,119,1,1,33,374,16
2017,44,90,105,6,2,38,372,35
2017,45,90,124,5,2,61,410,16
2017,46,112,124,6,2,40,415,34
2017,47,93,110,6,1,50,384,25
2017,48,81,113,7,0,35,474,39
2017,49,93,110,4,0,28,400,34
2017,50,89,110,1,0,34,402,16
2017,51,106,131,2,1,55,449,28
2017,52,115,106,7,1,27,420,26
2018,1,111,103,8,1,36,395,42
2018,2,70,99,18,0,45,415,29
2018,3,83,129,25,1,35,435,31
2018,4,102,125,33,1,37,385,32
2018,5,81,121,31,0,37,388,43
2018,6,81,109,15,1,36,362,31
2018,7,76,127,20,0,48,399,35
2018,8,85,93,17,1,39,395,25
2018,9,124,118,43,2,34,436,33
2018,10,93,109,31,1,32,406,34
2018,11,100,95,18,0,30,397,32
2018,12,95,104,31,2,28,389,27
2018,13,110,133,33,2,37,374,24
2018,14,97,137,32,1,38,403,33
2018,15,107,98,32,1,56,420,29
2018,16,81,122,30,0,53,443,29
2018,17,117,150,25,1,40,475,29
2018,18,103,147,17,0,55,479,29
2018,19,110,108,33,2,47,487,32
2018,20,109,126,29,2,50,490,24
2018,21,124,143,24,1,19,460,28
2018,22,120,164,26,2,52,492,36
2018,23,133,154,29,0,39,494,36
2018,24,111,140,22,0,36,467,27
2018,25,114,102,35,1,49,520,38
2018,26,100,130,39,1,25,439,36
2018,27,117,121,44,0,39,442,35
2018,28,110,115,41,0,45,529,45
2018,29,109,136,37,1,68,477,30
2018,30,116,91,35,0,45,500,26
2018,31,110,104,33,1,39,497,59
2018,32,114,105,34,1,46,462,43
2018,33,133,142,36,3,37,470,26
2018,34,89,106,35,0,72,511,26
2018,35,115,128,32,1,57,482,30
2018,36,103,100,40,2,71,458,29
2018,37,101,110,49,0,45,506,29
2018,38,129,116,31,1,56,487,22
2018,39,120,103,27,0,52,581,31
2018,40,126,100,33,0,80,567,55
2018,41,123,95,44,2,53,487,32
2018,42,98,92,36,1,43,456,20
2018,43,88,93,31,1,50,484,20
2018,44,98,99,26,2,59,515,31
2018,45,83,114,29,0,69,522,32
2018,46,80,105,25,0,76,519,19
2018,47,111,120,31,0,63,521,31
2018,48,91,119,24,0,42,535,40
2018,49,87,96,20,1,77,550,35
2018,50,129,85,33,0,48,592,38
2018,51,129,106,30,1,58,572,43
2018,52,126,131,37,0,77,561,27
2019,1,102,103,21,0,78,496,39
2019,2,84,76,44,0,38,467,38
2019,3,97,109,24,0,41,491,46
2019,4,97,75,48,0,42,423,32
2019,5,115,114,35,0,75,486,34
2019,6,106,90,32,0,57,432,28
2019,7,113,102,30,1,63,450,29
2019,8,125,120,37,2,43,429,34
2019,9,106,108,39,2,37,467,43
2019,10,106,96,41,1,46,468,28
2019,11,96,102,37,1,64,442,31
2019,12,119,101,31,0,73,468,24
2019,13,99,90,20,0,46,428,42
2019,14,113,137,29,0,68,436,28
2019,15,105,107,24,1,62,428,35
2019,16,117,135,24,0,56,467,30
2019,17,116,128,20,1,57,456,37
2019,18,130,127,38,1,67,471,35
2019,19,148,108,36,1,36,432,44
2019,20,100,116,31,3,55,460,33
2019,21,142,128,47,3,69,485,35
2019,22,139,112,29,1,50,487,38
2019,23,162,123,32,0,63,445,26
2019,24,130,117,38,0,69,454,27
2019,25,146,105,57,2,73,526,34
2019,26,136,111,35,2,68,560,29
2019,27,153,118,30,0,64,500,28
2019,28,118,120,37,2,70,517,29
2019,29,133,105,51,0,64,530,29
2019,30,110,118,32,2,75,484,32
2019,31,172,99,32,1,47,485,42
2019,32,141,107,35,1,84,522,28
2019,33,136,117,25,0,86,503,26
2019,34,145,120,26,3,50,491,38
2019,35,131,120,16,1,57,469,38
2019,36,141,122,28,0,36,481,25
2019,37,118,99,32,0,50,453,37
2019,38,122,86,30,0,66,460,22
2019,39,154,120,34,3,60,543,39
2019,40,140,116,27,0,71,496,40
2019,41,107,90,28,1,45,479,35
2019,42,138,137,33,1,38,507,24
2019,43,111,117,21,0,57,398,27
2019,44,99,97,30,1,45,435,31
2019,45,107,114,25,4,58,461,28
2019,46,144,121,19,1,55,429,30
2019,47,127,107,27,1,64,484,22
2019,48,109,103,19,4,67,461,23
2019,49,120,131,25,0,61,494,31
2019,50,115,129,26,0,47,532,26
2019,51,109,142,29,1,58,531,27
2019,52,137,149,38,1,80,563,23
2020,1,154,137,26,1,61,456,31
2020,2,102,105,36,4,57,485,22
2020,3,106,133,37,2,33,452,32
2020,4,104,126,32,0,51,501,41
2020,5,124,143,42,1,59,498,34
2020,6,113,100,33,0,66,474,35
2020,7,105,112,29,1,51,455,31
2020,8,120,118,41,1,50,465,23
2020,9,102,117,40,0,33,469,38
2020,10,95,108,47,0,45,415,44
2020,11,147,107,38,0,38,406,25
2020,12,101,104,56,0,53,407,22
2020,13,89,78,69,0,24,366,24
2020,14,112,98,58,1,32,412,33
2020,15,114,92,64,0,38,407,18
2020,16,117,87,58,0,29,424,16
2020,17,118,91,67,1,43,418,21
2020,18,137,89,36,1,22,407,36
2020,19,122,98,56,0,42,439,25
2020,20,158,80,54,2,22,466,24
2020,21,138,79,31,2,23,412,18
2020,22,127,111,22,2,30,454,25
2020,23,150,79,19,2,47,456,22
2020,24,139,106,13,1,41,464,18
2020,25,136,96,19,5,49,462,21
2020,26,154,96,32,1,41,504,27
2020,27,191,103,26,2,42,451,36
2020,28,127,86,46,3,49,474,23
2020,29,147,83,31,1,37,486,30
2020,30,140,98,52,2,50,437,23
2020,31,154,90,86,1,38,499,17
2020,32,130,82,94,0,40,490,28
2020,33,116,87,100,2,46,482,28
2020,34,168,112,111,0,30,529,32
2020,35,133,100,100,0,27,506,22
2020,36,144,86,133,3,48,498,28
2020,37,135,74,109,1,32,535,26
2020,38,160,86,106,0,38,490,21
2020,39,121,87,82,2,35,540,20
2020,40,127,100,83,1,37,571,27
2020,41,159,105,99,2,39,529,18
2020,42,152,92,81,0,53,541,25
2020,43,122,100,90,4,61,546,17
2020,44,122,95,85,2,40,443,28
2020,45,131,94,97,3,36,486,22
2020,46,127,98,102,2,51,501,31
2020,47,129,90,105,0,33,490,32
2020,48,113,119,74,2,42,467,21
2020,49,114,112,106,1,38,559,33
2020,50,110,98,76,0,65,475,22
2020,51,127,109,90,1,44,536,27
2020,52,164,113,85,3,55,632,22
