year,Week,ASST_T,BURG_T,DRUG_T,HOMD_T,ROBB_T,THEF_T,WCCR_T,ASST_NT,BURG_NT,DRUG_NT,HOMD_NT,ROBB_NT,THEF_NT,WCCR_NT,id
2015,46,41,77,2,0,35,132,12,68,170,2,1,42,462,46,2015.85853846154
2015,47,41,76,1,0,37,159,15,110,189,7,0,54,529,42,2015.87776923077
2015,48,38,63,4,1,36,154,13,73,143,4,0,48,436,46,2015.897
2015,49,40,87,1,1,32,155,19,87,182,2,0,55,477,44,2015.91623076923
2015,50,43,88,0,0,51,157,14,87,188,4,1,48,536,38,2015.93546153846
2015,51,31,77,2,0,42,174,16,98,171,7,2,60,487,38,2015.95469230769
2015,52,62,54,0,0,38,193,12,91,177,5,0,67,487,32,2015.97392307692
2016,1,38,54,6,0,36,165,14,104,140,8,1,67,494,67,2015.99315384615
2016,2,49,62,3,3,47,167,12,80,152,10,1,73,510,36,2016.01238461538
2016,3,42,70,2,0,30,153,13,93,139,4,2,66,436,43,2016.03161538462
2016,4,35,74,3,2,26,163,13,64,134,2,0,64,468,37,2016.05084615385
2016,5,48,57,1,0,35,164,20,92,154,8,2,70,431,56,2016.07007692308
2016,6,41,49,1,0,25,150,7,88,135,7,0,45,415,28,2016.08930769231
2016,7,40,48,5,1,17,131,6,101,120,11,1,54,429,35,2016.10853846154
2016,8,26,51,9,0,17,135,13,85,159,10,1,41,424,42,2016.12776923077
2016,9,48,63,9,2,27,145,15,97,184,10,2,43,403,43,2016.147
2016,10,41,51,3,0,24,123,6,92,137,8,4,35,439,36,2016.16623076923
2016,11,49,52,0,2,29,146,15,85,133,9,1,40,461,36,2016.18546153846
2016,12,49,49,5,3,24,125,6,94,138,8,4,29,424,35,2016.20469230769
2016,13,52,54,6,0,27,143,7,108,150,8,1,47,373,38,2016.22392307692
2016,14,54,44,5,0,33,164,14,102,135,1,1,50,406,49,2016.24315384615
2016,15,51,66,1,1,40,172,15,118,153,12,2,46,479,31,2016.26238461538
2016,16,37,72,3,1,42,150,15,86,127,12,0,73,492,31,2016.28161538462
2016,17,57,61,2,1,43,154,9,107,182,5,1,57,452,36,2016.30084615385
2016,18,55,71,7,0,23,161,15,110,168,6,0,75,411,29,2016.32007692308
2016,19,41,51,10,2,24,154,15,97,154,6,3,68,437,37,2016.33930769231
2016,20,48,56,6,0,30,168,9,112,159,8,3,57,481,37,2016.35853846154
2016,21,54,53,3,0,33,165,18,106,192,9,2,51,497,45,2016.37776923077
2016,22,49,64,5,1,25,176,10,118,170,5,3,61,492,28,2016.397
2016,23,43,46,5,0,35,168,13,124,173,9,1,48,497,34,2016.41623076923
2016,24,49,58,8,3,23,175,7,111,151,8,0,47,478,40,2016.43546153846
2016,25,46,49,1,2,34,185,21,113,182,3,1,47,508,31,2016.45469230769
2016,26,59,56,3,3,36,174,9,126,121,6,2,47,495,27,2016.47392307692
2016,27,39,46,4,0,24,150,8,125,166,13,2,56,429,30,2016.49315384615
2016,28,48,56,8,1,32,157,7,120,135,5,1,24,445,36,2016.51238461538
2016,29,46,55,1,2,35,173,8,108,124,8,3,62,468,23,2016.53161538462
2016,30,38,52,2,1,43,164,9,112,137,6,1,63,473,37,2016.55084615385
2016,31,59,42,6,2,41,161,16,111,123,7,2,62,537,33,2016.57007692308
2016,32,48,43,9,1,43,184,13,92,133,10,0,64,507,26,2016.58930769231
2016,33,44,60,2,0,43,163,10,94,129,7,1,74,440,30,2016.60853846154
2016,34,39,66,5,0,35,178,8,96,166,4,5,42,438,25,2016.62776923077
2016,35,54,63,2,0,32,160,10,123,169,12,2,64,453,26,2016.647
2016,36,50,59,3,0,32,164,12,95,160,11,1,62,508,42,2016.66623076923
2016,37,48,59,3,1,27,143,11,104,158,9,4,59,481,49,2016.68546153846
2016,38,43,62,0,0,32,168,17,133,157,7,2,61,471,23,2016.70469230769
2016,39,45,60,1,0,29,170,14,115,139,7,7,66,443,19,2016.72392307692
2016,40,60,59,2,0,20,169,14,124,137,8,1,63,476,29,2016.74315384615
2016,41,46,44,4,0,34,158,9,84,155,11,3,60,476,29,2016.76238461538
2016,42,50,58,1,2,28,192,11,121,174,10,3,49,488,35,2016.78161538462
2016,43,54,63,5,1,40,169,16,137,143,5,2,56,453,25,2016.80084615385
2016,44,65,42,2,0,45,168,12,122,153,8,3,65,453,44,2016.82007692308
2016,45,52,78,4,1,45,182,11,81,143,5,0,43,500,25,2016.83930769231
2016,46,46,74,0,0,31,160,12,77,187,9,1,41,463,30,2016.85853846154
2016,47,41,64,6,0,36,179,14,96,160,10,2,59,446,22,2016.87776923077
2016,48,58,74,1,2,44,215,14,113,161,5,0,63,454,24,2016.897
2016,49,39,53,1,0,31,179,14,99,174,9,1,54,474,33,2016.91623076923
2016,50,31,52,3,0,33,170,21,83,158,7,3,63,483,22,2016.93546153846
2016,51,41,73,5,0,23,163,10,72,168,7,2,54,491,33,2016.95469230769
2016,52,77,103,3,0,37,243,11,131,219,4,3,87,594,42,2016.97392307692
2017,1,77,71,4,4,53,232,34,99,132,5,0,48,395,38,2016.99315384615
2017,2,72,66,10,0,40,235,13,91,143,5,0,48,399,21,2017.01238461538
2017,3,77,82,4,1,36,247,20,97,139,5,0,50,412,29,2017.03161538462
2017,4,91,64,6,2,33,207,13,105,141,4,1,44,371,22,2017.05084615385
2017,5,93,81,4,2,71,232,21,115,139,4,1,39,412,30,2017.07007692308
2017,6,105,93,8,0,53,235,17,92,161,4,1,40,371,31,2017.08930769231
2017,7,82,70,8,2,46,220,17,96,119,5,0,42,337,37,2017.10853846154
2017,8,81,63,2,1,27,203,22,97,102,4,1,44,306,28,2017.12776923077
2017,9,74,64,8,1,37,183,23,117,99,6,1,30,407,38,2017.147
2017,10,77,61,4,0,29,198,23,87,120,9,5,27,346,25,2017.16623076923
2017,11,62,46,7,1,37,197,25,95,110,6,3,31,346,20,2017.18546153846
2017,12,83,64,2,0,39,192,19,100,118,8,0,36,356,20,2017.20469230769
2017,13,70,64,15,1,41,196,15,98,102,6,1,32,379,26,2017.22392307692
2017,14,75,77,10,1,38,216,13,130,108,3,0,32,340,33,2017.24315384615
2017,15,104,67,3,0,34,211,18,107,118,5,3,33,394,32,2017.26238461538
2017,16,102,72,3,0,32,205,19,122,136,8,1,48,351,23,2017.28161538462
2017,17,83,77,3,0,29,222,16,115,127,4,3,32,378,26,2017.30084615385
2017,18,67,78,7,3,25,205,27,122,130,2,1,58,388,37,2017.32007692308
2017,19,93,64,6,1,34,227,17,114,134,7,1,31,416,23,2017.33930769231
2017,20,86,61,2,1,32,193,24,124,131,7,1,51,372,30,2017.35853846154
2017,21,95,61,3,1,35,225,17,104,125,3,0,36,412,34,2017.37776923077
2017,22,101,60,5,0,36,231,19,114,135,7,2,41,413,37,2017.397
2017,23,79,49,2,2,34,230,18,121,120,3,0,47,343,29,2017.41623076923
2017,24,96,65,0,3,48,248,20,106,138,6,1,47,404,20,2017.43546153846
2017,25,89,61,3,1,35,234,13,123,122,4,1,47,386,33,2017.45469230769
2017,26,99,87,3,1,33,215,19,104,138,2,0,36,398,37,2017.47392307692
2017,27,78,64,4,0,26,219,18,118,133,4,2,35,407,26,2017.49315384615
2017,28,81,64,3,0,31,225,20,130,129,7,1,47,366,29,2017.51238461538
2017,29,85,74,2,0,45,229,15,117,129,4,4,56,395,22,2017.53161538462
2017,30,72,81,1,3,43,232,15,111,106,0,1,51,408,19,2017.55084615385
2017,31,87,77,4,1,34,236,25,124,148,3,3,26,409,32,2017.57007692308
2017,32,94,64,2,2,57,243,16,111,138,8,1,41,402,18,2017.58930769231
2017,33,97,85,1,0,49,234,21,110,131,5,1,51,410,29,2017.60853846154
2017,34,88,79,5,0,54,256,24,114,110,4,0,47,425,27,2017.62776923077
2017,35,117,77,3,1,51,239,15,107,130,3,1,55,441,32,2017.647
2017,36,91,57,1,2,52,226,19,97,113,3,1,35,389,36,2017.66623076923
2017,37,75,61,3,2,43,224,20,107,118,5,3,41,405,23,2017.68546153846
2017,38,90,74,2,0,40,241,18,115,127,1,1,32,392,27,2017.70469230769
2017,39,75,64,2,1,41,196,14,99,104,4,1,47,416,24,2017.72392307692
2017,40,69,74,5,0,64,218,15,104,135,5,1,52,404,43,2017.74315384615
2017,41,91,63,2,3,37,204,18,115,137,1,0,58,416,24,2017.76238461538
2017,42,75,72,0,1,39,215,11,105,145,5,1,42,365,27,2017.78161538462
2017,43,72,77,4,3,35,193,21,96,119,1,1,33,374,16,2017.80084615385
2017,44,89,60,2,4,41,201,19,90,105,6,2,38,372,35,2017.82007692308
2017,45,71,63,3,3,38,209,18,90,124,5,2,61,410,16,2017.83930769231
2017,46,81,77,6,2,63,211,18,112,124,6,2,40,415,34,2017.85853846154
2017,47,86,61,0,1,36,206,12,93,110,6,1,50,384,25,2017.87776923077
2017,48,67,63,4,1,41,223,19,81,113,7,0,35,474,39,2017.897
2017,49,80,64,0,1,48,216,20,93,110,4,0,28,400,34,2017.91623076923
2017,50,66,55,2,2,27,207,24,89,110,1,0,34,402,16,2017.93546153846
2017,51,55,72,3,1,40,212,22,106,131,2,1,55,449,28,2017.95469230769
2017,52,87,50,1,2,40,201,20,115,106,7,1,27,420,26,2017.97392307692
2018,1,69,56,3,0,31,230,19,111,103,8,1,36,395,42,2017.99315384615
2018,2,58,67,18,0,29,184,19,70,99,18,0,45,415,29,2018.01238461538
2018,3,70,67,9,1,35,204,7,83,129,25,1,35,435,31,2018.03161538462
2018,4,70,70,18,0,34,184,26,102,125,33,1,37,385,32,2018.05084615385
2018,5,46,57,14,0,37,228,17,81,121,31,0,37,388,43,2018.07007692308
2018,6,61,51,16,0,32,177,14,81,109,15,1,36,362,31,2018.08930769231
2018,7,49,44,11,0,39,165,14,76,127,20,0,48,399,35,2018.10853846154
2018,8,58,60,12,0,39,148,20,85,93,17,1,39,395,25,2018.12776923077
2018,9,66,42,22,1,23,193,16,124,118,43,2,34,436,33,2018.147
2018,10,74,63,23,1,33,173,14,93,109,31,1,32,406,34,2018.16623076923
2018,11,65,53,22,0,27,165,18,100,95,18,0,30,397,32,2018.18546153846
2018,12,78,58,11,0,25,180,21,95,104,31,2,28,389,27,2018.20469230769
2018,13,81,59,14,0,36,150,15,110,133,33,2,37,374,24,2018.22392307692
2018,14,53,57,18,2,25,182,18,97,137,32,1,38,403,33,2018.24315384615
2018,15,89,70,15,1,26,175,13,107,98,32,1,56,420,29,2018.26238461538
2018,16,78,73,19,1,50,215,19,81,122,30,0,53,443,29,2018.28161538462
2018,17,68,79,23,3,35,192,6,117,150,25,1,40,475,29,2018.30084615385
2018,18,75,60,22,2,30,197,25,103,147,17,0,55,479,29,2018.32007692308
2018,19,78,66,24,2,52,194,15,110,108,33,2,47,487,32,2018.33930769231
2018,20,81,67,27,0,38,184,19,109,126,29,2,50,490,24,2018.35853846154
2018,21,86,84,12,0,54,167,26,124,143,24,1,19,460,28,2018.37776923077
2018,22,83,62,35,1,30,196,23,120,164,26,2,52,492,36,2018.397
2018,23,95,71,21,2,48,180,20,133,154,29,0,39,494,36,2018.41623076923
2018,24,78,64,28,0,42,192,21,111,140,22,0,36,467,27,2018.43546153846
2018,25,85,61,20,0,35,200,13,114,102,35,1,49,520,38,2018.45469230769
2018,26,73,67,27,2,44,167,19,100,130,39,1,25,439,36,2018.47392307692
2018,27,89,70,28,1,36,194,26,117,121,44,0,39,442,35,2018.49315384615
2018,28,87,75,22,2,66,220,28,110,115,41,0,45,529,45,2018.51238461538
2018,29,77,55,24,1,51,197,20,109,136,37,1,68,477,30,2018.53161538462
2018,30,64,54,34,1,46,215,19,116,91,35,0,45,500,26,2018.55084615385
2018,31,86,50,26,1,51,231,21,110,104,33,1,39,497,59,2018.57007692308
2018,32,72,55,31,2,53,209,22,114,105,34,1,46,462,43,2018.58930769231
2018,33,67,58,30,3,46,219,24,133,142,36,3,37,470,26,2018.60853846154
2018,34,90,49,26,0,41,184,18,89,106,35,0,72,511,26,2018.62776923077
2018,35,70,75,25,2,52,210,17,115,128,32,1,57,482,30,2018.647
2018,36,92,58,21,0,50,208,20,103,100,40,2,71,458,29,2018.66623076923
2018,37,76,73,17,0,58,191,18,101,110,49,0,45,506,29,2018.68546153846
2018,38,59,53,24,1,30,225,27,129,116,31,1,56,487,22,2018.70469230769
2018,39,84,64,27,1,63,211,16,120,103,27,0,52,581,31,2018.72392307692
2018,40,91,57,28,1,55,227,26,126,100,33,0,80,567,55,2018.74315384615
2018,41,71,55,15,0,35,197,14,123,95,44,2,53,487,32,2018.76238461538
2018,42,76,55,10,0,34,186,19,98,92,36,1,43,456,20,2018.78161538462
2018,43,83,60,14,1,49,228,16,88,93,31,1,50,484,20,2018.80084615385
2018,44,72,48,13,0,45,179,28,98,99,26,2,59,515,31,2018.82007692308
2018,45,55,64,30,0,27,176,21,83,114,29,0,69,522,32,2018.83930769231
2018,46,71,64,27,1,38,229,14,80,105,25,0,76,519,19,2018.85853846154
2018,47,71,61,18,1,31,242,22,111,120,31,0,63,521,31,2018.87776923077
2018,48,59,53,23,1,43,193,20,91,119,24,0,42,535,40,2018.897
2018,49,85,64,15,1,35,182,18,87,96,20,1,77,550,35,2018.91623076923
2018,50,67,55,16,0,40,207,26,129,85,33,0,48,592,38,2018.93546153846
2018,51,61,63,24,0,36,200,19,129,106,30,1,58,572,43,2018.95469230769
2018,52,86,60,22,0,44,223,21,126,131,37,0,77,561,27,2018.97392307692
2019,1,74,54,36,3,56,239,26,102,103,21,0,78,496,39,2018.99315384615
2019,2,75,52,27,0,36,242,23,84,76,44,0,38,467,38,2019.01238461538
2019,3,58,42,23,0,28,248,17,97,109,24,0,41,491,46,2019.03161538462
2019,4,73,41,18,0,51,247,9,97,75,48,0,42,423,32,2019.05084615385
2019,5,60,59,18,1,48,235,20,115,114,35,0,75,486,34,2019.07007692308
2019,6,68,48,22,1,68,220,12,106,90,32,0,57,432,28,2019.08930769231
2019,7,68,54,23,1,37,256,16,113,102,30,1,63,450,29,2019.10853846154
2019,8,68,60,13,0,47,217,16,125,120,37,2,43,429,34,2019.12776923077
2019,9,70,70,39,1,34,206,16,106,108,39,2,37,467,43,2019.147
2019,10,66,60,24,0,52,217,18,106,96,41,1,46,468,28,2019.16623076923
2019,11,82,48,19,2,41,267,16,96,102,37,1,64,442,31,2019.18546153846
2019,12,86,69,21,2,39,250,14,119,101,31,0,73,468,24,2019.20469230769
2019,13,68,78,21,0,40,247,16,99,90,20,0,46,428,42,2019.22392307692
2019,14,75,73,19,0,36,215,19,113,137,29,0,68,436,28,2019.24315384615
2019,15,77,57,21,0,40,251,19,105,107,24,1,62,428,35,2019.26238461538
2019,16,72,68,27,0,47,213,12,117,135,24,0,56,467,30,2019.28161538462
2019,17,81,60,18,0,39,218,13,116,128,20,1,57,456,37,2019.30084615385
2019,18,81,43,22,2,57,208,22,130,127,38,1,67,471,35,2019.32007692308
2019,19,69,46,22,0,53,230,22,148,108,36,1,36,432,44,2019.33930769231
2019,20,81,48,27,0,34,265,19,100,116,31,3,55,460,33,2019.35853846154
2019,21,94,62,23,1,58,249,16,142,128,47,3,69,485,35,2019.37776923077
2019,22,73,70,18,4,46,240,17,139,112,29,1,50,487,38,2019.397
2019,23,93,63,26,0,56,248,15,162,123,32,0,63,445,26,2019.41623076923
2019,24,81,64,40,1,38,227,15,130,117,38,0,69,454,27,2019.43546153846
2019,25,97,49,30,2,42,271,22,146,105,57,2,73,526,34,2019.45469230769
2019,26,105,68,34,2,52,248,25,136,111,35,2,68,560,29,2019.47392307692
2019,27,95,70,33,0,61,237,26,153,118,30,0,64,500,28,2019.49315384615
2019,28,74,57,37,1,65,245,17,118,120,37,2,70,517,29,2019.51238461538
2019,29,85,52,56,1,42,279,20,133,105,51,0,64,530,29,2019.53161538462
2019,30,88,49,25,0,41,261,18,110,118,32,2,75,484,32,2019.55084615385
2019,31,117,52,25,0,49,256,20,172,99,32,1,47,485,42,2019.57007692308
2019,32,100,43,12,2,50,264,21,141,107,35,1,84,522,28,2019.58930769231
2019,33,87,52,26,0,59,272,17,136,117,25,0,86,503,26,2019.60853846154
2019,34,90,67,15,1,33,221,22,145,120,26,3,50,491,38,2019.62776923077
2019,35,83,58,13,0,50,248,13,131,120,16,1,57,469,38,2019.647
2019,36,98,65,19,0,53,236,26,141,122,28,0,36,481,25,2019.66623076923
2019,37,94,54,21,3,48,255,24,118,99,32,0,50,453,37,2019.68546153846
2019,38,92,54,17,1,57,263,16,122,86,30,0,66,460,22,2019.70469230769
2019,39,97,65,29,1,71,267,16,154,120,34,3,60,543,39,2019.72392307692
2019,40,87,55,33,0,57,237,17,140,116,27,0,71,496,40,2019.74315384615
2019,41,66,49,15,0,51,256,15,107,90,28,1,45,479,35,2019.76238461538
2019,42,63,76,14,0,41,251,20,138,137,33,1,38,507,24,2019.78161538462
2019,43,64,53,6,0,55,245,21,111,117,21,0,57,398,27,2019.80084615385
2019,44,77,50,14,2,50,289,18,99,97,30,1,45,435,31,2019.82007692308
2019,45,87,56,20,0,38,272,20,107,114,25,4,58,461,28,2019.83930769231
2019,46,63,63,32,0,30,288,23,144,121,19,1,55,429,30,2019.85853846154
2019,47,76,67,26,0,38,287,16,127,107,27,1,64,484,22,2019.87776923077
2019,48,63,76,27,0,35,260,20,109,103,19,4,67,461,23,2019.897
